"target","sampler","mean_err","var_err","median_err","Q1_err","Q3_err"
"N(2,1)",RRWMH,0.004459774748935441,0.0010468415319182522,0.0007157177045487018,4.7036765899788335e-5,0.004129133866544343
"N(2,1)",AM,0.0012740385365506146,0.0006313507772395255,0.0017966522100503202,0.0021321977209936005,0.0011192733605409622
"N(0.2,1)",RRWMH,0.0012878132842891188,0.006326708833534811,0.0024304656329763585,0.004779060384739131,0.0006220261414848771
"N(0.2,1)",AM,0.00013353961674938963,0.003656852545142475,0.0024192421139376252,0.004467150700111333,0.0031869397548160983
"N(10,1)",RRWMH,0.004434348379730224,0.0014573951690479703,0.001356442733523977,0.0028599869745473683,0.005787285915088702
"N(10,1)",AM,0.0004781264810276298,0.0007282701823854154,0.0014623054123585888,0.005173376704968646,0.002641385740661306
"N(2,0.2²)",RRWMH,0.0007452197323791765,0.00025447233199285546,0.00030453474686953363,0.0013432461209534896,0.0002574073498231577
"N(2,0.2²)",AM,6.12781199045287e-5,0.00011855837764154775,0.0005269393803470912,0.0005433762034485756,8.391394564721821e-5
"N(0.2,0.2²)",RRWMH,0.0008074077557572168,0.00025969955731129646,0.0003243078855679482,0.0007230432885935445,3.838951576962124e-5
"N(0.2,0.2²)",AM,0.00031894003132404425,6.888276757226197e-5,0.00095543112765617,0.0016465351112772975,0.000309748736252613
"N(10,0.2²)",RRWMH,0.00019702213764283272,0.00015564632229028708,0.0004602128682993367,0.0005406121684838894,0.0011036605632792629
"N(10,0.2²)",AM,0.0002721113923378482,9.654623803506679e-6,0.000586073403637144,0.0007219511659091182,0.0006525493418827466
"N(2,5²)",RRWMH,0.08791812690351675,0.19127811625260804,0.09945185462322281,0.06308640931494036,0.07826033198332727
"N(2,5²)",AM,0.0002468373564710191,0.09018529159470035,0.0033505771925543826,0.027488729316634153,0.0038420715799416527
"N(0.2,5²)",RRWMH,0.0787893375544514,0.033916076456833366,0.10815652576125655,0.07337884368640157,0.08835764225505827
"N(0.2,5²)",AM,0.010981230993328983,0.10225247721495379,0.012178005888644317,0.02549388106771433,0.006296973778739279
"N(10,5²)",RRWMH,0.12187749477240573,0.15187048813569248,0.1250089397798675,0.12154968768304553,0.11002374518244729
"N(10,5²)",AM,0.006461908138597039,0.012177033613284038,0.0007820329762324718,0.03611904464711291,0.008677390931199014
"Cauchy",RRWMH,Inf,Inf,0.03872151274727831,0.01621100058647873,0.01562169130558666
"Cauchy",AM,Inf,Inf,0.0009854306396118728,0.005224620805659996,0.006558227557850516
